Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Decision Tree Regression,0.07,0.893
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Multiple Linear Regression,0.504,0.238
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Random Forest Regression,0.049,0.926
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,Elastic Regression,0.504,0.238
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,XG Boost Regression,0.484,0.268
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 20,PCA Regression,0.504,0.238
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Decision Tree Regression,0.172,0.74
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Multiple Linear Regression,0.511,0.226
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Random Forest Regression,0.073,0.889
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,Elastic Regression,0.511,0.226
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,XG Boost Regression,0.496,0.25
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 40,PCA Regression,0.51,0.228
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Decision Tree Regression,0.172,0.74
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Multiple Linear Regression,0.511,0.226
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Random Forest Regression,0.073,0.889
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,Elastic Regression,0.511,0.226
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,XG Boost Regression,0.496,0.25
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 60,PCA Regression,0.51,0.228
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Decision Tree Regression,0.162,0.755
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Multiple Linear Regression,0.512,0.225
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Random Forest Regression,0.078,0.881
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,Elastic Regression,0.512,0.226
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,XG Boost Regression,0.52,0.212
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 80,PCA Regression,0.512,0.225
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 5; Random state = 1; Max depth = 10,Decision Tree Regression,6.343,-8.598
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 5; Random state = 1; Max depth = 10,Multiple Linear Regression,144.482,-217.641
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 5; Random state = 1; Max depth = 10,Random Forest Regression,3.006,-3.549
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 5; Random state = 1; Max depth = 10,Elastic Regression,120.64,-181.562
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 5; Random state = 1; Max depth = 10,XG Boost Regression,0.557,0.157
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 5; Random state = 1; Max depth = 10,PCA Regression,149.226,-224.819
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 8; Random state = 1; Max depth = 10,Decision Tree Regression,6.339,-8.592
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 8; Random state = 1; Max depth = 10,Multiple Linear Regression,1.907802599991476e+22,-2.887025726200742e+22
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 8; Random state = 1; Max depth = 10,Random Forest Regression,3.036,-3.594
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 8; Random state = 1; Max depth = 10,Elastic Regression,1.6657114329473717e+22,-2.5206757551159906e+22
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 8; Random state = 1; Max depth = 10,XG Boost Regression,0.546,0.174
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 8; Random state = 1; Max depth = 10,PCA Regression,1.90397393192844e+22,-2.8812319070733757e+22
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 10; Random state = 1; Max depth = 10,Decision Tree Regression,6.299,-8.532
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 10; Random state = 1; Max depth = 10,Multiple Linear Regression,1.7054547174524935e+22,-2.580818185370837e+22
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 10; Random state = 1; Max depth = 10,Random Forest Regression,3.31,-4.009
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 10; Random state = 1; Max depth = 10,Elastic Regression,1.3297632436130605e+22,-2.012294507872147e+22
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 10; Random state = 1; Max depth = 10,XG Boost Regression,0.533,0.193
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 10; Random state = 1; Max depth = 10,PCA Regression,1.7002008849765443e+22,-2.5728677037438166e+22
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 38,Decision Tree Regression,1.051,-0.591
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 38,Multiple Linear Regression,0.738,-0.116
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 38,Random Forest Regression,0.596,0.097
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 38,Elastic Regression,0.722,-0.093
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 38,XG Boost Regression,0.624,0.056
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 38,PCA Regression,0.737,-0.116
""
