Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Decision Tree Regression,174.953,0.595
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Multiple Linear Regression,231.442,0.464
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Polynomial Regression,157.135,0.636
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Random Forest Regression,124.779,0.711
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Support Vector Regression,203.954,0.528
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Decision Tree Regression,171.567,0.603
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Multiple Linear Regression,231.747,0.464
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Polynomial Regression,160.823,0.628
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Random Forest Regression,130.512,0.698
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Support Vector Regression,157.124,0.636
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Decision Tree Regression,322.383,0.254
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Multiple Linear Regression,231.915,0.463
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Polynomial Regression,162.032,0.625
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Random Forest Regression,200.388,0.536
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Support Vector Regression,212.845,0.507
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Decision Tree Regression,710.085,-0.644
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Multiple Linear Regression,253.437,0.413
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Polynomial Regression,460.196,-0.065
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Random Forest Regression,474.538,-0.098
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Support Vector Regression,184.791,0.572
""
