Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Decision Tree Regression,175.451,0.594
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Multiple Linear Regression,231.442,0.464
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Polynomial Regression,157.134,0.636
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Random Forest Regression,128.226,0.703
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Support Vector Regression,203.954,0.528
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,Elastic Regression,231.45,0.464
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,XG Boost Regression,380.777,0.119
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Low variance filter| Parameters: Variance threshold = 1,PCA Regression,231.389,0.464
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Decision Tree Regression,168.42,0.61
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Multiple Linear Regression,231.747,0.464
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Polynomial Regression,160.823,0.628
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Random Forest Regression,130.46,0.698
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Support Vector Regression,157.124,0.636
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,Elastic Regression,231.734,0.464
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,XG Boost Regression,404.327,0.064
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Random Forest reduction| Parameters: Number of features = 2; Random state = 1; Max depth = 10,PCA Regression,233.784,0.459
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Decision Tree Regression,308.994,0.285
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Multiple Linear Regression,231.915,0.463
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Polynomial Regression,162.032,0.625
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Random Forest Regression,199.903,0.537
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Support Vector Regression,212.845,0.507
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,Elastic Regression,231.906,0.463
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,XG Boost Regression,464.29,-0.075
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
PCA| Parameters: Number of components = 2,PCA Regression,231.915,0.463
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Decision Tree Regression,530.853,-0.229
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Multiple Linear Regression,253.437,0.413
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Polynomial Regression,460.196,-0.065
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Random Forest Regression,464.171,-0.074
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Support Vector Regression,184.791,0.572
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,Elastic Regression,253.194,0.414
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,XG Boost Regression,540.389,-0.251
""
Dimension reduction + parameters,Prediction model + parameters,MSE,R2
Factor Analysis| Parameters: Number of components = 2,PCA Regression,253.437,0.413
""
